,Image,Hex,R,G,B,H,S,V,Freq,Prop
0,1_14_19.10_30_20.5V4B3121.masked,#a98c61,0.6627450980392157,0.5490196078431373,0.3803921568627451,0.09953703703703709,0.4260355029585799,0.6627450980392157,219315,0.042583634323828626
1,1_14_19.10_30_20.5V4B3121.masked,#4e4216,0.3058823529411765,0.25882352941176473,0.08627450980392157,0.13095238095238096,0.717948717948718,0.3058823529411765,657098,0.12758644391363627
2,1_14_19.10_30_20.5V4B3121.masked,#35270d,0.20784313725490197,0.15294117647058825,0.050980392156862744,0.10833333333333334,0.7547169811320754,0.20784313725490197,576881,0.11201098671939712
3,1_14_19.10_30_20.5V4B3121.masked,#928536,0.5725490196078431,0.5215686274509804,0.21176470588235294,0.14311594202898553,0.6301369863013698,0.5725490196078431,337416,0.06551489665097672
4,1_14_19.10_30_20.5V4B3121.masked,#211107,0.12941176470588237,0.06666666666666667,0.027450980392156862,0.0641025641025641,0.787878787878788,0.12941176470588237,805537,0.15640833067648788
5,1_14_19.10_30_20.5V4B3121.masked,#6e3721,0.43137254901960786,0.21568627450980393,0.12941176470588237,0.04761904761904764,0.7000000000000001,0.43137254901960786,778868,0.151230103269415
6,1_14_19.10_30_20.5V4B3121.masked,#90533e,0.5647058823529412,0.3254901960784314,0.24313725490196078,0.042682926829268296,0.5694444444444444,0.5647058823529412,551199,0.10702440168552088
7,1_14_19.10_30_20.5V4B3121.masked,#4d2111,0.30196078431372547,0.12941176470588237,0.06666666666666667,0.044444444444444474,0.7792207792207793,0.30196078431372547,611967,0.11882351387844164
8,1_14_19.10_30_20.5V4B3121.masked,#715d24,0.44313725490196076,0.36470588235294116,0.1411764705882353,0.12337662337662336,0.6814159292035398,0.44313725490196076,611937,0.11881768888229585
